일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-09 00:00:00,강원도,30.39,28.68,23.82,20.77,85.75,0,2021,7
2021-07-09 00:00:00,충청북도,31.05,29.92,24.86,21.59,83.3,0,2021,7
2021-07-09 00:00:00,충청남도,30.93,29.49,24.87,21.98,84.55,0,2021,7
2021-07-09 00:00:00,전라북도,31.09,29.66,25.26,22.54,84.78,0,2021,7
2021-07-09 00:00:00,전라남도,31.9,29.7,25.77,23.49,88.89,1,2021,7
2021-07-09 00:00:00,경상북도,29.82,27.81,23.62,21.16,89.68,0,2021,7
2021-07-09 00:00:00,경상남도,31.87,29.68,25.32,22.89,89.53,1,2021,7
2021-07-09 00:00:00,제주특별자치도,31.9,30.5,27.3,24.8,77.1,0,2021,7
2021-07-10 00:00:00,서울특별시,30.6,29.2,25.9,23.1,80.4,0,2021,7
2021-07-10 00:00:00,부산광역시,30,28,25.3,23.4,84.9,0,2021,7
2021-07-10 00:00:00,대구광역시,32.5,32.05,24.9,20.8,82.9,0,2021,7
2021-07-10 00:00:00,인천광역시,28.5,26.8,24.5,22.2,77.9,0,2021,7
2021-07-10 00:00:00,광주광역시,33.4,31.3,26.4,23.7,90.9,0,2021,7
2021-07-10 00:00:00,대전광역시,32.8,31.1,27,24.2,84.8,1,2021,7
2021-07-10 00:00:00,울산광역시,31.8,30.2,25,21.3,86.6,0,2021,7
2021-07-10 00:00:00,세종특별자치시,31.9,30.3,26.3,22.5,76.3,0,2021,7
2021-07-10 00:00:00,경기도,30.89,29.38,25.01,21.68,83.6,1,2021,7
2021-07-10 00:00:00,강원도,30.45,28.73,23.31,20.43,89.11,0,2021,7
2021-07-10 00:00:00,충청북도,31.39,30.3,24.91,21.73,83.29,0,2021,7
2021-07-10 00:00:00,충청남도,31.55,29.95,25.45,22.43,85.83,0,2021,7
2021-07-10 00:00:00,전라북도,32.33,31.24,25.32,22.11,83.39,0,2021,7
2021-07-10 00:00:00,전라남도,32.15,30.16,25.77,22.66,86.95,2,2021,7
